,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
16,59uK11jECAxkFvYVrFPJwfC4CWyc2xs4rw3UDFqsDvyCZKz5FabtNywoQgLMrL38uuY7w4cqseBXZqNUSoEjoK7r,buyNow,magiceden_v2,DPBjx4ViEZTerYyyswRhTcu2szv9ajFXnNted63MJsPT,justape,136821530,1654710683,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,89ekAothcT6sqWXQsZEN9suvzQCPoq7Laf8L2Mrxt7hY,,12.4
17,U5f2XeSMtKpmqsmHFQpHLusFoLa8wSaYdRY1Fs2ZqebHWihAWjnpUqSmzQr3YUsQNJaDAFvWMZqzeFhvA4N2ek6,buyNow,magiceden_v2,1437rEGgWJQ7DrFbuW6aHMXvKym1jVyUZmWF7Phf9PNV,justape,136821527,1654710680,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,F1QyW2RiabaUTHYYMZs6kVQmjw3QzhRWtAJNUp6ifWAe,,12.4
18,zAH4Emit3Eh8vZWMWAvZkj6SGrQ3RJUSHQQh2CXPtPoCwLC8UaFQ9qVuND38oZ9hPt6up5EZdcG9TgB63papeY7,buyNow,magiceden_v2,Cr4xBUF6PX5ZUSAyB6jFvtYCzoZJccQ6ZftQekAHAdtQ,justape,136821527,1654710680,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,GDVYiqAA2qo9Mpcxgp5rpfXjQDELL2ph9NcwNZGpD4sw,,12.4
19,3oxNxkDr8YMz8TWx5W9ARonzbNNTS5qtn9YVC2StWatKrf7bU1obhxVw6igTdKa1HAswMhehjBL3bzgehwRKzid,buyNow,magiceden_v2,ByEuc7wNdFND7EyucdpGdfmLSvZD6VkLvffFDWBVaH4T,justape,136821507,1654710667,DCnVYgPGRtubyWbYDjjmcsA1cmbjVQXKaRzNcq8qaXoz,,HdbDmNKP4mKvxFcMP4VzJNiCoW52bHk4dUzWve6UR4kV,,12.1
20,28HyBRwHwhizTjS5n8z18ycXfkg8HdVUtrZhw9BprfDzrsz3fBqqWZf7AFZQTjhqeq9iQPmBDLDikS6V3rxbJJUc,buyNow,magiceden_v2,C8ey2iPGcwg2yqi97GHsYhHadqWgxH3ToHsF4vJj2LEa,justape,136821499,1654710661,5L61PuEhbFixzUS9gMchdtAge5c5x78HybKB3hkeWF8L,,HoSDj4PidQefE4kiZ7cPsCYfddyYJBS2PvPmXdcMFsRw,,12.4
21,39S8sg2NH2L5YfyiDtr4MDG4uGMjahihNidgE39U9DPdoGZa5QhU3jzKdvJHfTu3c5sexZNSM8H2chyTWgRbRnaZ,buyNow,magiceden_v2,CPpadgQ6W8knqR8oLHkRsf9V9Ce18y8cZRHRoa41eg1F,justape,136821491,1654710653,2dac1ATu6BEdooHZkRntGeyDwrqwGhhsLwACzNi4ftUE,,Dz2JP4GUjjiacuPB9MPpFWwUm19meFhQk1Ata1qBZ8Jf,,19.0
22,3dX2PnyvyEArrQu5kAKnn3yXd7okX5YXzBXqzs6BDAqPJcWMGKdnccmfb1yM89E7cECxn7tTcWLqViezjMCfE753,buyNow,magiceden_v2,J8KiaNK9Qg6KRfU5terp9v2JCTuMSYrTccWawW6mXkHV,justape,136821483,1654710648,Eu8QxeDzz6y11mUPabXqqA2cnCxkx34VdZcf616z8Sr8,,FMkgipEwKzjmrdTy14qTDLMCGCnyrrwt2R14vYLQG7LH,,12.8
23,5oKhUMPgFyY8YiWGTf5GgX7a3gVjPUyvoXrmt7z7kf6Qpqde8ovrU7e723fczozXVNsrenFcGXnpJy2j1WZfk5hB,buyNow,magiceden_v2,4Ti8XoZ8WWbgYAwhSkJEvR8NvLiZA8ExrdxrL7nEYUVp,justape,136821451,1654710625,Hnr4makUp8n5eE5itAQQJH9ZLr5dBDwWEXs5nyK831bG,,y7iZi1URSKSbG5SBHowSjY2QM8jeVa5AsEhL1zyST3W,,12.19
24,DfMo5psp6ufcwnS2WzZhUy8LpkmUgWEz7L7vwa5AkUH3vPpT1fLqSErX9tpFFwDzz7d96tAgsYgAxqA6YrusotQ,buyNow,magiceden_v2,99Ai26d5YiGSYPBKmLtz2RijjFiBwHx23PtzUekDmxQQ,justape,136821450,1654710625,4tDecXCRBh3zvG5q9UTBFobhep2NEjT29noveUwtG9qP,,5LyAxSFTXr1FVtaMV4jGKuFGSpAEotZfZGAF8BhhfHuT,,13.0
25,4Gy8n5MA5KwnCMHiJF5ssArCERnSVG6CSsXiZQFyDZBpDpm2UT63jrQy5t1MyUmgwU1ECKEeVQy2wEtDVgRCzpEV,buyNow,magiceden_v2,6EweR8JT3yFJyszttK3W6NMy8g4q5TCKzkNshoQxdtSz,justape,136821445,1654710621,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,GDVYiqAA2qo9Mpcxgp5rpfXjQDELL2ph9NcwNZGpD4sw,,12.3
