,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
670,14.138996,18.5,Primate #3469,3526,6,https://bafybeiaedutdoc6u2w2hmd3noq3vsu2wukcmii37zeg6ua2emlbsjfp7ci.ipfs.nftstorage.link/3468.png?ext=png,-4.361003999999999
136,13.637783,18.0,Primate #9976,4894,6,https://bafybeidbj6g7j3k3ilvcvxecrgaiuzyd2udbrqzoz7vhwreceb2yz7nj2i.ipfs.nftstorage.link/9975.png?ext=png,-4.362216999999999
930,14.6329365,19.0,Primate #3843,8918,5,https://bafybeigcwvdayi4tkcar6jwlwgg7wetp3k7f4kywnzrhgxicedssobjfji.ipfs.nftstorage.link/3842.png?ext=png,-4.3670635
1091,14.609684,19.0,Primate #8839,8118,6,https://bafybeie2b7vyv2hfkfj236jduycefgo664ulxdu6k5kkt2tz4za3hglg6a.ipfs.nftstorage.link/8838.png?ext=png,-4.390316
51,13.607445,18.0,Primate #3710,8813,5,https://bafybeic2okfe4ptcgnee4o4gjeib65p5ruebebfzggtbr62qnenheavrku.ipfs.nftstorage.link/3709.png?ext=png,-4.392555
1348,14.103166,18.5,Primate #2749,1994,6,https://bafybeicf2pix7xwco7djsv32b5mj62vdwndjgb6to5r3dbcswgteb44r5m.ipfs.nftstorage.link/2748.png?ext=png,-4.396834
638,12.576032,17.0,Primate #2581,6985,6,https://bafybeiczaqygf7igm2vpbxqhf7lues72ahmlcptq7spa35ut4n4a7hby6u.ipfs.nftstorage.link/2580.png?ext=png,-4.423968
875,15.551566,19.98,Primate #9725,5632,6,https://bafybeieq2xljpo5pzk2eijcn3hnndayjgmxwtjszzvua3oqdfjlzpkvcmm.ipfs.nftstorage.link/9724.png?ext=png,-4.428434000000001
549,13.563817,18.0,Primate #6301,9163,5,https://bafybeicb7w2fqtd4s4g56xujo6wwbmcbmh5rgufyq5fwmjdf5fiph3hboq.ipfs.nftstorage.link/6300.png?ext=png,-4.436183
147,15.554496,20.0,Primate #3365,3397,6,https://bafybeiht7kmlabijfdermqt3qs63hyt7dalclj7z3y2o2ucstdgkzobbpq.ipfs.nftstorage.link/3364.png?ext=png,-4.445504
34,14.238682,18.7,Primate #6234,3815,6,https://bafybeifjwf6epb5s7n2yrp63yhucejlwd5hl6wo34zrizbpywkvkmztgoy.ipfs.nftstorage.link/6233.png?ext=png,-4.461317999999999
1167,14.52735,19.0,Primate #7382,2445,6,https://bafybeich7lusif4av7kdlp7xbg3uojjaapjzns2cv2uddkwrg7mgctuto4.ipfs.nftstorage.link/7381.png?ext=png,-4.47265
738,13.519704,18.0,Primate #3525,7951,5,https://bafybeidxnsajjedhgintoimodv5tsjbxvgh3hgm37c7okixyghly2memim.ipfs.nftstorage.link/3524.png?ext=png,-4.480295999999999
544,12.494783,17.0,Primate #3920,8347,6,https://bafybeic2gvmcctojv2qdhsestytrb5afv65aedbiei75322q6e4pizbu4q.ipfs.nftstorage.link/3919.png?ext=png,-4.505217
370,12.990606,17.5,Primate #8029,7511,6,https://bafybeidr5xrw35mlplzrhwp24wrlq2lbugo7hiqce2dpy7g7lgbfd6mbfm.ipfs.nftstorage.link/8028.png?ext=png,-4.509394
14,14.25702,18.77,Primate #6100,3167,6,https://bafybeihrrdwei7qxxybjr2kwazunbjfm4ys4a3i3d5reieb5wz5f4tf4yy.ipfs.nftstorage.link/6099.png?ext=png,-4.512979999999999
1349,15.4767475,20.0,Primate #4274,3458,6,https://bafybeiabdmfp7jpn6kmdu6omo4qp6xk6uvpgy2uys5oqvpyqrrabnts4iq.ipfs.nftstorage.link/4273.png?ext=png,-4.5232525
309,13.475145,18.0,Primate #4123,4019,6,https://bafybeifnkyt2ifebvahy7glm3nviqywmeoglsurxvkqctsb5ti7k44oujq.ipfs.nftstorage.link/4122.png?ext=png,-4.5248550000000005
426,13.468355,18.0,Primate #4483,7546,6,https://bafybeihklrmijgn5ifwgrsxmoz3atzhgldp5poy6ic2gezqd7cfndvi3xi.ipfs.nftstorage.link/4482.png?ext=png,-4.531644999999999
387,15.463952,20.0,Primate #3608,1951,6,https://bafybeicklyglyroyik3sizjwxv3sadsedv6fth7qtdwi424fxgcramoc5a.ipfs.nftstorage.link/3607.png?ext=png,-4.536047999999999
