,Unnamed: 0,name,Background,Body,Clothing,Eyes,Head,Mouth,trait_5_rarity,trait_3_rarity,trait_0_rarity,trait_2_rarity,trait_4_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
5636,5636,Primate #5349,Green,Caution Tape,Half Zip Pullover,Wide Eyed,Camo Bandana,Excited,9.64,8.89,1.29,4.7,1.46,10.79,5637,8.185414256794322e-09,1.29,6.128333333333333,6,F1Nnkh4LmYytGsGNCbQRte9wZS2DYsXGCduSMhqrWoER,14.789396
3666,3666,Primate #2508,White,Intestines,Royal Coat,Enucleated,Pink Bandana,Amused,10.19,4.23,1.44,3.87,2.78,7.07,3667,4.721198040601055e-09,1.44,4.9300000000000015,6,4Lh8R2LFfs988BX4i5JPCBBsJJhpfEev5xQxA4sVHVb8,14.788551
4031,4031,Primate #8205,White,Stone,Pullover,Jngl Intestines,Pink Braids,Excited,10.19,7.79,2.13,1.82,1.5599999999999998,10.79,4032,5.179748533707384e-09,1.5599999999999998,5.713333333333334,6,6CU6CNh83axHHroQ8CAkBKTCxLpPWURvrXsNk8asHfCo,14.786777
6800,6800,Primate #2153,Mint,Glitch,Wifebeater,Parallelogram Glasses,Medic Cap,Content,10.15,6.45,1.4200000000000002,3.0,2.49,18.05,6801,1.2534641268975002e-08,1.4200000000000002,6.926666666666668,6,5NWqDKBwLc1oj4SNoXNod9TNqQhpwZWyX11JirK8gPhz,14.784851
3628,3628,Primate #159,Blue,Naked,Basketball Jersey,Snow Goggles,Professor,Pipe,10.37,19.21,1.46,2.0500000000000003,1.85,4.24,3629,4.676817500008401e-09,1.46,6.53,6,97dip19Lj3GfmD5WDXrJCzmQ1VEGKvn2WwLDUMUueSnG,14.784795
7290,7290,Primate #5853,Red,Naked,Anorak,Enucleated,Devil Horns,Dumbfounded,10.48,19.21,1.62,3.87,1.36,9.1,7291,1.5620499876683515e-08,1.36,7.606666666666666,6,EhqS5LPcdHUWLiUejBgWeKRpScCfKUaapFXfb37dA2Tw,14.7839575
2149,2149,Primate #656,Lilac,Robot,Royal Coat,Classy Glasses,Newsboy Hat,Vampire,10.0,8.790000000000001,1.44,3.58,1.61,4.18,2150,3.049555569984e-09,1.44,4.933333333333334,6,BJ5khP12aFjQx8S4W7RbHS7YwVadGTH5NuBtQkYgCfRz,14.781211
5813,5813,Primate #2489,Mint,Caution Tape,Layered Jacket,Polarized Sunglasses,Anonymous,Excited,10.15,8.89,2.2,2.82,1.43,10.79,5814,8.637679280029798e-09,1.43,6.046666666666668,6,9pN7Ef9BWW1TEcrUNfX15A6t6QFMi2fvJzyDgp4hLueQ,14.779402
8201,8201,Primate #9209,Purple,Caution Tape,Suspenders,Thug Life Glasses,,Stitches,9.66,8.89,2.11,2.9000000000000004,19.05,2.62,8202,2.622742247085661e-08,2.11,7.538333333333332,5,UUFCGAoTNi4Tmuqc8eZ3ajpq1aAq3QyNCoFZyMyY9a4,14.778778
9166,9166,Primate #418,Green,Stone,Fur Coat,Pritv,,Sassy,9.64,7.79,2.25,3.17,19.05,5.86,9167,5.9792796796311e-08,2.25,7.96,5,5smHKHKkbA1GJnHmsSFcThw9HsJFdQ93EEATfEy4Yf1y,14.7774935
2704,2704,Primate #5994,Lilac,Tiger,Motorcycle Jacket,Enucleated,Antlers,Jngl Grill,10.0,6.63,1.91,3.87,1.5699999999999998,4.66,2705,3.5854480123019993e-09,1.5699999999999998,4.773333333333333,6,3FNm4nEMxEZG8oDaXm4rHhfWGZPts5a1s8gkKufRQmZy,14.777061
3829,3829,Primate #7079,Yellow,Skeleton,Layered Jacket,Stitched,Horned Cap,Tnt,9.83,6.3100000000000005,2.2,1.92,2.3800000000000003,7.88,3830,4.913714974586879e-09,1.92,5.086666666666666,6,AiD8FgbriRoKZaCXXzTG1L1AFfiFe9EzGSvBC2cgGX1d,14.776442
6866,6866,Primate #3026,Red,Pill,Suspenders,Polarized Sunglasses,,Stitches,10.48,4.15,2.11,2.82,19.05,2.62,6867,1.2916272957242404e-08,2.11,6.871666666666666,5,EktE3S8hQeaDR9YpcCZMWjHfLSfAqhx4MBf4xz6xmRWg,14.7757015
3665,3665,Primate #2057,Red,Pill,Exoskeleton,Thief,Propeller Hat,Content,10.48,4.15,1.44,1.97,2.12,18.05,3666,4.7211865888896e-09,1.44,6.368333333333332,6,3kz3vacPT4UKcM3teZBC97xJxnXJWbiALtzeJUuvVDs9,14.775553
3743,3743,Primate #828,Lilac,Stone,Casual Denim Jacket,Eye Patch,Bag Mask,Content,10.0,7.79,1.95,3.02,0.58,18.05,3744,4.8026862038999995e-09,0.58,6.8983333333333325,6,BkR5JJeGjofNwbC2FfVTYGH7Y32D2Nhq3CBrQoS1QXgt,14.77535
8188,8188,Primate #7836,Blue,Mutated Zombie,Layered Jacket,Monocle,,Banana,10.37,7.57,2.2,2.8000000000000003,19.05,2.82,8189,2.5977624589224e-08,2.2,7.468333333333334,5,3DP6xcWwvhp7hHmmwVjeYF1roQc1pQ9zfZt67rC8uJgN,14.775105
3304,3304,Primate #5392,Orange,Mutated Zombie,Diving Jacket,Thinking,Fedora,Amused,9.85,7.57,1.6,4.32,1.18,7.07,3305,4.299691145702401e-09,1.18,5.265,6,Ciw3ekPP19AeTgFcSA4FbE2g6bC7An2x8P8CSrhEhZbW,14.775038
7509,7509,Primate #3176,Lilac,Naked,Varsity Jacket,Questionable,Tactical Helmet,Excited,10.0,19.21,2.43,3.75,0.91,10.79,7510,1.7188094912625e-08,0.91,7.848333333333334,6,C8FR9bnxiqQkhY9mBr6txcHJYKJaZ4FaJ3NJnzdZ2MnY,14.77503
