,signature,type,source,tokenMint,collection,collectionSymbol,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price,image
33,3io13786jja6esTMvLUoGKtdz1fvjib1AZHWagFQRTSCTPjHkbY51Wmo8WQ3k8D2u6NkJYMsaZ8BrGovbM3WV9Zz,buyNow,magiceden_v2,4QqzAfDPSSPXJQ3E6VShU1B7TnL1K1HEqkVFFUdDxmfS,solana_monkey_business,solana_monkey_business,139027995,1656208947,2mdUSGaTXcNGKNXs5cPURZAc6euP9jNtEkS7JPVr4hEp,,4aJ2haE7NzFoUHSRPAXWgK4kZJuvtLAh2kYNch6tCtiE,,180.0,https://arweave.net/aNuj3D31VnzXDzazDM8U6vCNBvQmMmWSM5CEZLFxvIY
34,62ojmJybaxsfKLKUhXZeYRv8HQBNgji8Z5DcUVG7yQa5gNJPTRBQHJGyDrA6LG8Jp32uX9om25DbSiPUUrMNPs9o,buyNow,magiceden_v2,3PS4XMmdQJQXV2qz2yWykwbo3sLVdeZ8UxPH14Y8ASnJ,solana_monkey_business,solana_monkey_business,139027159,1656208466,2mdUSGaTXcNGKNXs5cPURZAc6euP9jNtEkS7JPVr4hEp,,7Ld9bHTxhjnd9NYyYdMGim8ucaadLLTzGT6MxD8Eu4ds,,179.0,https://arweave.net/6crHHoJ21MwFEMB2QxKzlTQEisedHKucXUl8HgX5Yno
35,2mQ8JL929Bgx1g1y55VjoX5oZvdQZczfRCmj7WetrZMfKjB1ZGkhx7Ykqe7Q7GsfPEVdr9Ze59U4LQQ62GXm7q3Y,buyNow,magiceden_v2,GsKv8PfChyJrjCEbtymTPWMSfv5yygbycrTGcmmS9zj2,solana_monkey_business,solana_monkey_business,139026080,1656207848,2mdUSGaTXcNGKNXs5cPURZAc6euP9jNtEkS7JPVr4hEp,,7ndsKhbAX2ZdAw6hMdxVH6MNDUn6EhqPNBkhTtjiArfx,,178.0,https://arweave.net/3K_8FW8vA5t7Vv-nzKN8ScKG-Z0TLWAyFFyDezz0_jw
36,3eST97b312qsivaeyv36MnhR4rHTCUUcsJ4CkLk2KUdg3ShfTmeDWyw5fYtCREL4rLbtjbwmistgNZCUyQokBHgs,buyNow,magiceden_v2,Dgvx2vgretPqDw1PxYfrUd9KPnvxNxFWYk61Avirpj2S,solana_monkey_business,solana_monkey_business,139026001,1656207803,2mdUSGaTXcNGKNXs5cPURZAc6euP9jNtEkS7JPVr4hEp,,5U4rxVGgdNqbJXGDnPYrKHoGGDt8vb3KPdDjRb4CpRj2,,175.0,https://arweave.net/zhibFwVwSs72S3vtpJElTdu_i-vr51DuKuU9W73ruAQ
37,CNpYvhtNAEBXgRHcNZHT3AAzUHLRaLG176ZzWXZFyt5eZS7jZwLs4gBTgRkdxU2QA7UCfJCCppS8xGQRQ7HP9Dz,buyNow,magiceden_v2,EVFcU6YW1on32DnkRk1cn9b3ZiRnbDxiEmcH1h7HZMB,solana_monkey_business,solana_monkey_business,139006708,1656195575,4DXQvN744VPT8ffg14n3zRq5WSn3pijStouasRWi94rK,,C7UBMCHAMYr6rsvdaPioWFbokmHnhE2UouueegojzECF,,220.0,https://arweave.net/J2usBzmRrDvW9L37xbVVdRoq4M2otC5WIkARSTEOpbs
38,3NA2UVgPk8wMcSjnu5FdrPBtvifaiyrMk6DWty4MfS6CVksxrSbmgZhfthukLFqdgJRuStV6QpnRZ3ojcfnWGVSc,buyNow,magiceden_v2,BPQi6NrD6M9s4TaUYQtX66uPWy1A5C39o619MZDGxsjg,solana_monkey_business,solana_monkey_business,138973947,1656172704,8S5NsmPLmnYeB5fjw68GAyC19z8ZzBTw8iTz1hzHMHi4,,Fni7b9HLdAL1fPNHLYzQxAyZYN1y7MVKmjxhn8QnyMWH,,187.0,https://arweave.net/IzSOlri0HLCsYc1NoDvlzuCuyk_NDC1aO6BwktmJB68
39,5QzEMynGRBzQ3NEgjgLnC75XDBnX8M7RtWAb93avkYNeJyv5jS45t9cnmH4rpkiNFZrfNxCCGcgagWZ2kbn4gF3y,buyNow,magiceden_v2,2adnFbNXSyLwyNQbZuBXghYNcYyQwJoCFV3to27xL4om,solana_monkey_business,solana_monkey_business,138931060,1656144392,9u5NCGtgFu6U8DFn1sC8peqctMMFiPXUTajRB7VScosZ,,PouAFtgMHM8RhciTUg8EyzfzwpwsEJZmP4CszuSBDDy,,172.5,https://arweave.net/lalkb4BIvHluvjqq46VhVaTETAh_cu58p0kQiv365L8
40,2YS6i8LqZFnFvZLiEvaqrpnBCCWTc18qZBFUe8x2KpM8CQTCEvV1nFYQHfzvwRfHTJHgo3hEHJUxPJeNrwEesg2M,buyNow,magiceden_v2,CM2qM4xJcNrzocWXAJowLNdewVrqYkhYM6qbhR2eDKjN,solana_monkey_business,solana_monkey_business,138925910,1656141000,2TMzcRk2d6V8aqjKSRVuwtBfkP4i3si6MHDG8YpEn6qG,,BBgqzg4MzcwDwCGdKJUt1Jm6xSQqDKBKGSY4svkTWs4n,,170.0,https://arweave.net/16GxoEBzaNqEbD1MPwyJ-MR1eM3hAOppNqS4HYxY3II
41,6Aw99mL8HQstgnMUJNwZZWYeGttSGxLnE3XshDxQ7k7h3xV9ZVdWYmtfBW2oJnv19MX2dchUYR8Wv7acSQj54Z4,buyNow,magiceden_v2,3Te1p8o1N7mHjc81hcNpskyStTWT7tXhJXZp6D4WgzVm,solana_monkey_business,solana_monkey_business,138909524,1656130442,HRtwRVTmn6sbENbE8HPCyk8dJXURsLwBe6RMN9GnUpPW,,2r54u8NVxaU3KK5tVgbarYpfGqKrjs1jTDQGphjW2zAq,,170.0,https://arweave.net/k1uvPwKRb_GxZUR_20GQz9NML8xmEpLjTdfe2-wWv6U
42,3wvmKkHC44j6Dty1TKDfAQhAvaxbWm2zfJVquxGyUE8hT31jBZinetC56sa4PcC6WffWMeLNHDCLNjrbNfLEPPfw,buyNow,magiceden_v2,F5W5PRdXXvS76Uv5bzJTMNeN6BsU1o3gT7HwnyWLqjwG,solana_monkey_business,solana_monkey_business,138872615,1656105576,Fb91U5QEiaicj1Rn56drPrE5xj4LiVE5eu5UoS58wH6d,,Ae76XSFcjCkt9uv1tbr1CsYdKkvA3KZDxfS2FY23gKhE,,178.5,https://arweave.net/Rg41a_hFHeveN-ptsgwvFjFpuGOHTB9l3m4ktJFBDp4
43,5hSHRRa9o7SgoV8SisJfMZVBRpx7v7qYhe6kuAYz1fGnv7mQPrKTYZrwriyX1GAqC4FvJ6FbxGTM43TERQ22pkYg,buyNow,magiceden_v2,Gv1c2vWMjfNhWA1kQhCevCW5WsqhVvpJY4ykrQyZ4to5,solana_monkey_business,solana_monkey_business,138870245,1656103972,Fb91U5QEiaicj1Rn56drPrE5xj4LiVE5eu5UoS58wH6d,,FjhjPdG6P39UWTCHZHXhwe5basMCdsQdx5sDCHg4MbhS,,178.99,https://arweave.net/Nux9JLr3JaVt4Xm_j231NEukg17iFt37FvM2tmJblUI
