,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
3,3HMDJee48GuWtTpxea7ehZG7A9XyahbBFph6B63HNwTeUdmKgY6aZiB1J13tD3disk8y8ZUwgHgRzBXW7TmRFPKq,buyNow,magiceden_v2,AXD4uxEFGFzVkSuwpJSDhoWUPDDE6SZYbLH2acgRAkzE,degods,122895608,1646073347,5E9iebfHgsLWyk24gNh4WAvGRBJKk3PDgvwYNDCDiPzs,,GUrwkzyp4Kwow6jsC7qn1Vz43VjPi5ULX29WfKPDdi6d,,31.7
4,4qjNU8SvPzGJvrEUzTMJXioAgj14QCLm5ZyENxhk7a9ZpqeyHW55yXXiU479PPq9aZMU6oA6uwUxjv7fgFefbGR,buyNow,magiceden_v2,72rRxM2qE457h9iMPHrVW2fxdsHvjriGHuCt1eTieySn,degods,122895081,1646073022,7n8CTz3B44r8DVhNvibEPNE3D4A3JBjFop1QDVPdG3he,,6T8qnM5SGvcffp4c1bS2fcvARkSFg5BnFYfgFR3hvxYF,,30.0
5,5FrUm1bsKnfQyJjLPPqBn5mpz3fp5H5uWBwbZhF25VxMkh96gA8bfx8MMFP7G7fPpbuQt6kcrkhhDhZVzct3Fqbc,buyNow,magiceden_v2,7Jie6dcX9LTw2W4rDnixiZz5DrznoGzVUz48ToMPq3H4,degods,122872563,1646059071,G8tSmwuXn1WHvUweFv6oPXJ12qPTXoa9ishFVFwBxote,,4sTiePajqyYjeWDCasdNZoXJ2SMcNgqjhgMRbzt7derA,,42.0
6,5jniCh8UXC36Hu5jWVT4AmnaryiKCT24YgLN1YLD7YourPNA9uKTZH4eEzba6zRTwzrQ6mTboj1sEzCNoMzterst,buyNow,magiceden_v2,FdnZvGNutEYTknNoUia7dcTgcoNR9XNxMrNrLUZGM9WV,degods,122865359,1646054723,FdyPk8GaCaFaezjzum4hYhWohhh7exE2MZXSHBrws5Vu,,4dyrL38mHdkRKx7jmE8B6qGdhwBjLVyKH91jQmaLLVMi,,31.5
7,YakZQWBS9LEAwco8ayeo9LS52KVD8Dr35gcxFMmmjPSer5gjMxL6fiU4RUeMzMZFQx7BhQd8m3H8HoQ2Ag3qHze,buyNow,magiceden_v2,3yUnmX2dNSanuPcWdtgFF1DTM6B6PuJ1xDUYu7dCvG2Q,degods,122864939,1646054464,EmZMgzCC5TNKhPDYPUdgiZHAC77ykT9rdXF4zgS24ScV,,CrTmQzg287TuQMWKMiNw33FW4hDABRyj4jn7xnvsGbXk,,31.0
8,5auPrSrfjaXd6aPG7Q5DoXbSc48UHfniJTcjCv3nDz6g4BE66dQQiVFU2MNyB8WhqeW9QFWUuQVYavU1BgREXyNh,buyNow,magiceden_v2,6Dk6miELhusYkPv6UsTbhsj7nJeGpcdCREg4tPsL4jWC,degods,122863288,1646053509,EmZMgzCC5TNKhPDYPUdgiZHAC77ykT9rdXF4zgS24ScV,,6rbVWb1mWKrJ1ivWuW3Sshh3e866wKpd9c3X2xUiXGnu,,31.0
9,3iHa5tHXUFgkPsoDZoqLvAzWkfnGGZpbUKgBPXsiCqBsMBtDZw3B5gYmTpurppBurjZpEaKVwFymmiReo73g2rN9,buyNow,magiceden_v2,G9PSaRSJM7PMZXdMmxrau2QY8EJKACW4hsS1su7iLNTL,degods,122830340,1646034307,H9xQS2NuSrGMjG5tqfZ17sBUqrHjYXCjAmY9v1qRWEf1,,C8cS7iqF7oTjh3Q4F1JXqc3uPvcEoZBsyjvNrzcvtoVG,,31.0
10,5nDvdJcBnbA14cyVaE9G8uhjPLB5RCYxyYTqgyRJRoFQDZin3StbZcfotT6kiTnuzRP3tvQ7CWKn4Z1DisZhkVNV,buyNow,magiceden_v2,DJBJ2hrpavUpC47RvqKbTLuREdxREkjDfQ91iggQj6B,degods,122829929,1646034072,AYfUa1MUjjivuDKDuXhY5rHCaDBvyAQrNh3XD6bYX8Ty,,C8cS7iqF7oTjh3Q4F1JXqc3uPvcEoZBsyjvNrzcvtoVG,,31.0
11,p1cChD961ACtqbKyZkTimusrs9ax1hLi7AstCBJsPRA3s6CEACgQYfh6B62gTnPRsDFFvm7avCCp1USNq2nwpPJ,buyNow,magiceden_v2,JTqeSiHoLbzsh8VxyLAAX4TcqL1NadiziMQg2qYQ7a7,degods,122827581,1646032710,7zXmiu62v95xkEM8QJmHo2s13kW3rskz6HsHN9dnJk6Y,,4W9mfGkogM3vYxemp1We5sPcCGX3Dyz756k64ei4UZ95,,33.0
12,2rohy1zy9V7TKe86zvZ4a1qC34U28qrXar2UaWXew4JC79N9r4x3cWkRRMojXZaX7S6FgFG5XiJxm2AcYVPf9tzG,buyNow,magiceden_v2,BCpXVdvfFVstNynxPdzPUpBmHUai4JN7ApMH2NV6i7Gh,degods,122822608,1646029796,Bxkc63REbHcMyUvjBesxfuhiiQJEsJFnKDHcbmCavCXL,,6rfTznfTtmSPSMmRyhqPXT8hL2vTTCXy16XWC2nPYS9V,,35.0
