,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
548,139.37495,165.0,Okay Bear #9129,2718,6,https://bafybeifmcfojbnwl555alnpku44gywdoiaj26jjl2ddoke2fkgrm5juf54.ipfs.nftstorage.link/9128.png?ext=png,-25.625049999999987
209,106.88018,133.0,Okay Bear #916,4945,6,https://bafybeifvfzzk32h4xfsy67fuasesiozkdawbjluk6hcmiwf6z7tctydr5y.ipfs.nftstorage.link/915.png?ext=png,-26.119820000000004
546,93.789215,120.0,Okay Bear #3125,7393,6,https://bafybeibc33epkejoeqgspgz6um6awqpb2r2lpsjm5s76pmvizbcbaxw2ju.ipfs.nftstorage.link/3124.png?ext=png,-26.210785
177,98.63265,125.0,Okay Bear #5842,6094,5,https://bafybeib6xilv34hxps4foewwkd3fripgnc4jitzul54uvflzmtmagm6rgu.ipfs.nftstorage.link/5841.png?ext=png,-26.367350000000002
3,115.464874,142.69,Okay Bear #3712,5578,5,https://bafybeibdktefbadhcttkm3cqp5ghb26utngxpolkvfgu3nmcfpgk4d2fem.ipfs.nftstorage.link/3711.png?ext=png,-27.225126000000003
259,110.679054,138.0,Okay Bear #8654,7085,6,https://bafybeiaxag57py5hohw466uripzjfqjj4x6l6awsxppu2ztdj4isp33uwm.ipfs.nftstorage.link/8653.png?ext=png,-27.320946000000006
307,96.7945,125.0,Okay Bear #5902,2944,7,https://bafybeietzgnye5brkhuzpittobj2r7nxs7e24mjjvres4yguucpzroy7re.ipfs.nftstorage.link/5901.png?ext=png,-28.2055
508,96.692055,125.0,Okay Bear #6757,5740,6,https://bafybeifkbof7edswdfjwxgnnwuaw7tjzktjw35utt223ochwtc2z2rhcfy.ipfs.nftstorage.link/6756.png?ext=png,-28.307945000000004
150,96.435104,125.0,Okay Bear #374,7530,6,https://bafybeickgzprj3vmlmvjg4uojomnb6qpt6ialb5g4hgu32r3mvi7b7utwa.ipfs.nftstorage.link/373.png?ext=png,-28.564896000000005
331,101.22734,130.0,Okay Bear #3205,6188,6,https://bafybeifllsj4lwl6tizghq4elimvr5owf4swbtrrwxleqq3gcuadkkofwe.ipfs.nftstorage.link/3204.png?ext=png,-28.772660000000002
241,101.19626,130.0,Okay Bear #3489,1105,7,https://bafybeigsln4ka7vedwfidzi6rhm3vdsvs32cjhkxbtss6qkmg76kifysai.ipfs.nftstorage.link/3488.png?ext=png,-28.803740000000005
329,100.17671,129.0,Okay Bear #8953,8033,5,https://bafybeiev3w7g7xw7zc2vezamuvydzrfd4rpbrbow6woffwkjyy5gfyctgi.ipfs.nftstorage.link/8952.png?ext=png,-28.82329
201,97.15673,126.0,Okay Bear #5028,3566,6,https://bafybeihi4ddupf5gz7zpmwa7qk7hekimpln7hqjywdz5ait2q7hz2i3xha.ipfs.nftstorage.link/5027.png?ext=png,-28.843270000000004
206,149.96869,179.0,Okay Bear #5857,9540,4,https://bafybeif5rt5imwmu6bjysd2kx5vrpp2be36yqarlvjxewhouvbejwzh6sy.ipfs.nftstorage.link/5856.png?ext=png,-29.03130999999999
242,98.6485,128.0,Okay Bear #8584,2998,7,https://bafybeiasr454jpha75rcjfqtvlctbaszxivpk37q2z3hho3ubqavo37gqi.ipfs.nftstorage.link/8583.png?ext=png,-29.3515
300,109.23354,139.0,Okay Bear #107,5095,5,https://bafybeighjl5tsg5rpyokpizeodz6ho46rjenzyzslbozh4qdfehhhsgrsa.ipfs.nftstorage.link/106.png?ext=png,-29.766459999999995
433,139.11911,169.0,Okay Bear #2431,173,7,https://bafybeibn3yeghfcbc7qwpjblsx32uv6so2f4ivvccuobvo5sv66kavrfny.ipfs.nftstorage.link/2430.png?ext=png,-29.880889999999994
244,109.110504,139.0,Okay Bear #6346,3011,6,https://bafybeihylx5bttm6qt3chsqj65vd2jbsrls3qrw5w3t7lhrlokleokx7zu.ipfs.nftstorage.link/6345.png?ext=png,-29.889495999999994
277,96.76153,127.0,Okay Bear #3369,3568,6,https://bafybeiaf3xea5l4zyknck43h4fznaxfzysxvbh66dwwknhtjdxcu64hmqa.ipfs.nftstorage.link/3368.png?ext=png,-30.238470000000007
76,98.684105,129.0,Okay Bear #2438,2497,6,https://bafybeibn3yeghfcbc7qwpjblsx32uv6so2f4ivvccuobvo5sv66kavrfny.ipfs.nftstorage.link/2437.png?ext=png,-30.315894999999998
147,102.15347,133.0,Okay Bear #8085,2736,6,https://bafybeiby5vawtedmpufcnwrc5yfozjsfndl5kytfoyuebatbwiclboz6oy.ipfs.nftstorage.link/8084.png?ext=png,-30.84653
268,98.681526,130.0,Okay Bear #7019,7176,6,https://bafybeibkk3jjgsvhhvgeqr45kqjiah6yll6zbnby4vusxlgk7jphtwizye.ipfs.nftstorage.link/7018.png?ext=png,-31.318473999999995
125,103.65085,135.0,Okay Bear #5018,734,7,https://bafybeihi4ddupf5gz7zpmwa7qk7hekimpln7hqjywdz5ait2q7hz2i3xha.ipfs.nftstorage.link/5017.png?ext=png,-31.349149999999995
692,97.230515,129.0,Okay Bear #2364,8901,5,https://bafybeicqznud66ydw2yhpszwz36vbmayn5bfqufizi3sg2jexwcnrid3me.ipfs.nftstorage.link/2363.png?ext=png,-31.769485000000003
92,103.168144,135.0,Okay Bear #9156,2607,6,https://bafybeiei3lgexvgt3252drfkk72amfy5a7dgmdg6cmlsgfvmo3vlnmm3da.ipfs.nftstorage.link/9155.png?ext=png,-31.831856000000002
