name,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank
Okay Bear #2139,0.1326,0.0201,0.0528,0.0671,0.0208,0.6672,0.023,0.0201,0.6672,0.14051428571428573,184.18923041315082,3183
Okay Bear #7235,0.1261,0.0641,0.0528,0.031,0.0275,0.032,0.0239,0.0239,0.1261,0.051057142857142856,184.18293714400187,3184
Okay Bear #2955,0.1222,0.1413,0.0095,0.2023,0.0256,0.6672,0.0551,0.0095,0.6672,0.17474285714285712,184.1768798034784,3185
Okay Bear #3490,0.1227,0.0196,0.0797,0.0454,0.022,0.6672,0.023,0.0196,0.6672,0.13994285714285717,184.17545785778495,3186
Okay Bear #8634,0.126,0.144,0.2305,0.0507,0.022,0.0407,0.0133,0.0133,0.2305,0.0896,184.15575300197273,3187
Okay Bear #5255,0.1252,0.0606,0.0099,0.062,0.0268,0.6672,0.2698,0.0099,0.6672,0.17450000000000002,184.14668689716555,3188
Okay Bear #3593,0.1261,0.0641,0.0797,0.1309,0.0357,0.0092,0.2698,0.0092,0.2698,0.1022142857142857,184.13061486512976,3189
Okay Bear #2212,0.1265,0.0456,0.0922,0.0788,0.009,0.6672,0.0551,0.009,0.6672,0.15348571428571425,184.13003761311182,3190
Okay Bear #6420,0.1265,0.1413,0.0253,0.2023,0.0157,0.0374,0.0292,0.0157,0.2023,0.08252857142857144,184.1299353795372,3191
Okay Bear #1253,0.1326,0.0641,0.0217,0.026,0.1965,0.0407,0.0214,0.0214,0.1965,0.07185714285714286,184.07464498178308,3192
Okay Bear #8019,0.1265,0.0641,0.0528,0.0507,0.0229,0.0183,0.0424,0.0183,0.1265,0.053957142857142856,184.06685885627704,3193
Okay Bear #799,0.1252,0.0606,0.0797,0.0199,0.0251,0.0407,0.0309,0.0199,0.1252,0.054585714285714286,184.0602999037681,3194
Okay Bear #1250,0.126,0.0276,0.022,0.0965,0.0256,0.6672,0.023,0.022,0.6672,0.14112857142857144,184.0251935783404,3195
Okay Bear #908,0.1187,0.0456,0.0101,0.0965,0.0256,0.6672,0.2698,0.0101,0.6672,0.1762142857142857,183.99476986440695,3196
Okay Bear #800,0.1227,0.0606,0.0922,0.0526,0.0275,0.0183,0.026,0.0183,0.1227,0.05712857142857143,183.97898681248654,3197
Okay Bear #2027,0.1261,0.144,0.0922,0.0454,0.009,0.6672,0.0424,0.009,0.6672,0.16090000000000002,183.94189499382395,3198
Okay Bear #2251,0.1227,0.1268,0.0797,0.026,0.013,0.6672,0.026,0.013,0.6672,0.15162857142857145,183.9284008297314,3199
Okay Bear #1169,0.1227,0.0196,0.0528,0.094,0.0193,0.6672,0.0239,0.0193,0.6672,0.1427857142857143,183.90133587112712,3200
Okay Bear #121,0.126,0.0426,0.0217,0.0526,0.0227,0.6672,0.0239,0.0217,0.6672,0.13667142857142858,183.8977110725824,3201
Okay Bear #4578,0.1326,0.0818,0.0243,0.031,0.0178,0.6672,0.0303,0.0178,0.6672,0.1407142857142857,183.8586214657982,3202
Okay Bear #8035,0.1227,0.0456,0.0217,0.1309,0.0193,0.6672,0.0214,0.0193,0.6672,0.1469714285714286,183.84339694892844,3203
Okay Bear #2559,0.1222,0.0641,0.0116,0.2023,0.0157,0.6672,0.2698,0.0116,0.6672,0.19327142857142857,183.83349806121456,3204
Okay Bear #7892,0.1326,0.0606,0.2305,0.094,0.0088,0.6672,0.0337,0.0088,0.6672,0.17534285714285716,183.82857606104386,3205
Okay Bear #739,0.1187,0.0201,0.0797,0.0671,0.0157,0.6672,0.0303,0.0157,0.6672,0.14268571428571428,183.82239351793066,3206
Okay Bear #1957,0.1261,0.0456,0.2305,0.1309,0.012,0.6672,0.0175,0.012,0.6672,0.17568571428571428,183.81284431065924,3207
