,Unnamed: 0,name,Background,Body,Eyes,Face,Hat,Outfit,trait_0_rarity,trait_2_rarity,trait_3_rarity,trait_4_rarity,trait_5_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
8759,8759,Trippin' Ape Tribe #2451,Magenta Swirl,Blue Tryptamine,Wired,Pipe,Beanie,Groovy Green,2.74,10.68,7.17,5.79,8.93,6.4,8760,6.943060790641153e-08,2.74,6.951666666666667,6,58vzDGJANM17ko9BdGoFXQNrStCunbZQB12KBQ41ZJPn,18.294086
5450,5450,Trippin' Ape Tribe #7043,Purple,Drippy Pink,Blue Hypno,Quiet,Field Hat,Bat Country,6.260000000000002,8.06,1.97,9.86,4.69,2.89,5451,1.3283826712424631e-08,1.97,5.621666666666666,6,DEsKf69VknJC4qrGLKauRsZ5hhmi4tXa55BNemboGqJF,18.294075
9201,9201,Trippin' Ape Tribe #9243,Beige,Drippy Pink,Rainbow Bliss,Cig,Beanie,Tux Shirt,6.36,8.06,6.4,6.21,8.93,5.15,9202,9.369629531758082e-08,5.15,6.8516666666666675,6,sJaDFHrRQW9639t5FSd5GCUD4EoLbkkaxER2uTcNrDp,18.29402
5816,5816,Trippin' Ape Tribe #3305,Sky Blue,Marble,Spaced Out,Face Melt,Mad Hatter,TyeDye,6.19,10.78,7.1099999999999985,2.66,2.19,5.6099999999999985,5817,1.5504851937485985e-08,2.19,5.756666666666668,6,3Sr2FwKZchU1ttX43htHx4qVv7NZkVybf5dui88votHT,18.29373
4588,4588,Trippin' Ape Tribe #6494,Lime,Drippy Pink,Fire,Cig,Mohawk,Varsity,6.16,8.06,1.7000000000000002,6.21,6.29,2.87,4589,9.462127977862562e-09,1.7000000000000002,5.215,6,DTpW5ZETk4MPQ79ZWAeCUwnstsXTtYZ5VmgpR62H5gGg,18.293434
9464,9464,Trippin' Ape Tribe #1357,Peach,Marble,Blue Shades,Cig,,Mad Hatter,4.88,10.78,7.13,6.21,9.26,5.47,9465,1.179826172091484e-07,4.88,7.288333333333334,5,AbgaTwZbCxDyBioD8Ag8Xi7GV4F7yaesJwKSS6kBznjL,18.29292
8495,8495,Trippin' Ape Tribe #9100,Mint,Drippy Blue,Rainbow Bliss,Shout,Mohawk,TyeDye,4.07,7.99,6.4,7.91,6.29,5.6099999999999985,8496,5.809130765769408e-08,4.07,6.378333333333334,6,uRDC3VGSuNnvMDJ2RhPxevZrMTW6nth2PBm7kQ4UAVD,18.292606
7558,7558,Trippin' Ape Tribe #5753,Sunset,Blue Tryptamine,3D Glasses,Acid Tab,Mohawk,Blue Tank,4.61,10.68,3.7,5.63,6.29,5.3900000000000015,7559,3.4771362418688284e-08,3.7,6.05,6,EfC443cUrDWr3Fqh4neEmu3QFgLk3d2VsgzxviBCSdTb,18.292423
5490,5490,Trippin' Ape Tribe #6661,Red Circles,Blue Paranoia,Rainbow Shades,Gold Grill,Mohawk,I _3 Chorles,2.0500000000000003,3.5700000000000003,5.09,5.94,6.29,9.71,5491,1.3514381664835593e-08,2.0500000000000003,5.441666666666667,6,AG8y62XENW5fJFscfZfyrgajGCCb17qEReP6HqhMLLM,18.292175
7693,7693,Trippin' Ape Tribe #1171,Lava Green,Purple Tryptamine,Alert Blue,Eyeball,Valhalla Helm,White Robe,2.68,10.91,8.27,7.689999999999999,5.92,3.39,7694,3.731752211815507e-08,2.68,6.4766666666666675,6,DJx9prbxUhaZmGVXZJLSBCtK63VkA3mqMZvQjvc2SwpK,18.292002
