,name,background,clothes,eyes,head,mouth,neck,skin,speciality,specialty,version,background_rarity,skin_rarity,speciality_rarity,clothes_rarity,neck_rarity,head_rarity,eyes_rarity,mouth_rarity,specialty_rarity,version_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank,id,tokenAddress,collectionAddress,collectionName,imageUrl,chain
30,DeGod #8221,Heaven,God Beater,None,Headband,Porn Stashe,Solana Chain,Acid,,Earring,,0.009866666666666666,0.006933333333333333,0.9998666666666667,0.047466666666666664,0.0061333333333333335,0.0516,0.5158666666666667,0.08506666666666667,0.08453333333333334,0.8954666666666666,0.0061333333333333335,0.9998666666666667,0.27027999999999996,476.71335332515844,30,8221,9da3dys8t5WDZCoLDkm5i2jZsSA4yVapvmt4pb4MoMuF,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/8220.png,SOL
31,DeGod #3302,Deep Ocean Blue,Hazmat Suit,Playboy Bunny Glasses,Medusa,None,None,Zombie,,None,,0.1232,0.0172,0.9998666666666667,0.0188,0.5170666666666667,0.0033333333333333335,0.021466666666666665,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.3645066666666667,473.89718219313164,31,3302,7EQen7r9j85g4A8ytLanZwiMGyXSMzREzjghCQXhTwxe,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/3301.png,SOL
32,DeGod #6051,Heaven,Tech God Vest,Rugrat Frames,Bloody Horns,None,None,Leopard,,Mythic Wings,,0.009866666666666666,0.08106666666666666,0.9998666666666667,0.031066666666666666,0.5170666666666667,0.021066666666666668,0.0212,0.5281333333333333,0.0044,0.8954666666666666,0.0044,0.9998666666666667,0.31092,473.73092923449065,32,6051,FWaouL3A21fbYrwNM8GZHC5EmVUXYJMaqv4Kc3cGG2Li,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/6050.png,SOL
33,DeGod #6201,Hell,Tattered Tee,None,Mythic Helmet,None,Diamond Necklace,Zombie,,Earring,,0.0276,0.0172,0.9998666666666667,0.04493333333333333,0.0416,0.0032,0.5158666666666667,0.5281333333333333,0.08453333333333334,0.8954666666666666,0.0032,0.9998666666666667,0.31584,470.9435425028256,33,6201,Hnoo9j2kcwFZTyGhyZhwtcLnhoRkqNkzKgmUtnDQVhrE,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/6200.png,SOL
34,DeGod #9710,Alaska,World Champion Robe,Steampunk Goggles,Mythic Halo,Porn Stashe,Cannibal Necklace,Turquoise,,Earring,DeadGod,0.0272,0.09533333333333334,0.9998666666666667,0.014933333333333333,0.0388,0.004266666666666667,0.019466666666666667,0.08506666666666667,0.08453333333333334,0.07053333333333334,0.004266666666666667,0.9998666666666667,0.144,464.49952697932696,34,9710,2JSUmqSbGTGLFUN3Hx6DpZj7iGhZnJ1QEdecV876GAFV,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/9709-dead.png,SOL
35,DeGod #5996,Alaska,Godchella Hoodie,Rose Tinted Shades,Medusa,None,Double Diamond Necklace,Marble,,None,,0.0272,0.0948,0.9998666666666667,0.049466666666666666,0.0212,0.0033333333333333335,0.0244,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.31644,461.61371769853844,35,5996,FyUCBtWzA3ztx5E5WTPFgM6Qm4AxfmHdvSM6z5eT5p8d,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/5995.png,SOL
36,DeGod #7968,Teal,Divine Robe,Rugrat Frames,Bleached Curls,Porn Stashe,Gold Chain,Lavender Stripe,,Earring,,0.13013333333333332,0.09853333333333333,0.9998666666666667,0.0032,0.04013333333333333,0.031733333333333336,0.0212,0.08506666666666667,0.08453333333333334,0.8954666666666666,0.0032,0.9998666666666667,0.23898666666666668,459.63464430474505,36,7968,9FPRJCandX1ERr6xttnJCiUgHi3Y1mfD24fw44on964H,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/7967.png,SOL
37,DeGod #8538,Red,Radioactive Tee,Playboy Bunny Glasses,Babushka,None,None,Pastel,,Mythic Wings,,0.126,0.029733333333333334,0.9998666666666667,0.0112,0.5170666666666667,0.021866666666666666,0.021466666666666665,0.5281333333333333,0.0044,0.8954666666666666,0.0044,0.9998666666666667,0.31552,456.3871120809867,37,8538,9L33KznS9ZUWa9dzVrD2DAxAZUohfLTW3YDyDuYtoSoV,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/8537.png,SOL
38,DeGod #8374,Red,Gym Tee,None,Godlielocks,None,Solana Chain,Lavender Stripe,,Third Eye,,0.126,0.09853333333333333,0.9998666666666667,0.0488,0.0061333333333333335,0.019466666666666667,0.5158666666666667,0.5281333333333333,0.005066666666666666,0.8954666666666666,0.005066666666666666,0.9998666666666667,0.3243333333333333,456.3077394869076,38,8374,EAKPVqiA5TVu2KpLW1fiVrrMQ7Guo5E6Ungc1e49pG8n,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/8373.png,SOL
39,DeGod #6215,Olive Green,None,Rugrat Frames,Medusa,None,Diamond Necklace,Marble,,Angel Wings,,0.1288,0.0948,0.9998666666666667,0.04666666666666667,0.0416,0.0033333333333333335,0.0212,0.5281333333333333,0.024666666666666667,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.27845333333333333,455.50021394110377,39,6215,8j2dmdeCKoFNKEnCqXRyhUznJFTeScbSp5efkMPjiEWf,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/6214.png,SOL
40,DeGod #5130,Olive Green,War Armor,None,Leaf Laurel,None,Mythic Mamba,Nebula,,None,,0.1288,0.0054666666666666665,0.9998666666666667,0.0312,0.004933333333333333,0.053733333333333334,0.5158666666666667,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.004933333333333333,0.9998666666666667,0.36839999999999995,451.92513371865067,40,5130,rL82proC5AYdVo4a6GuZeWizyNEnqdXjKuT1SUtP3y9,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/5129.png,SOL
41,DeGod #7594,Supernova,Tracksuit,Eye Patch,Mythic Helmet,Party Blower,None,Pink Granite,,None,,0.028933333333333332,0.09653333333333333,0.9998666666666667,0.022133333333333335,0.5170666666666667,0.0032,0.0324,0.08613333333333334,0.5205333333333333,0.8954666666666666,0.0032,0.9998666666666667,0.32022666666666666,451.0481181988284,41,7594,46kvph1MAinKbxtxjDT9DDg4aH3pBpU4CR48gvNjFd5r,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/7593.png,SOL
42,DeGod #4853,Blue,Steve Jobs Turtleneck,Swirly Glasses,Mad Scientist,None,Friendship Necklace,Ice,,Third Eye,,0.1416,0.006666666666666667,0.9998666666666667,0.031733333333333336,0.06426666666666667,0.0516,0.0388,0.5281333333333333,0.005066666666666666,0.8954666666666666,0.005066666666666666,0.9998666666666667,0.27632,450.6667105506815,42,4853,6yuaLSUWCQ9AQQhvKbcptTfzSsU8by4Gj9wwY1H3mfuw,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/4852.png,SOL
43,DeGod #4535,Purple,Mythic War Armor,None,Bleached,None,Solana Chain,Blue Sky,,None,,0.12746666666666667,0.0468,0.9998666666666667,0.0044,0.0061333333333333335,0.05213333333333333,0.5158666666666667,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.0044,0.9998666666666667,0.36968,446.58042356825183,43,4535,C2wwtKjdWuSqpnG6zNFSy7mDGWCCMH6jxn9DtTNU94L,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/4534.png,SOL
